,,,,,,,,
,,Sales Person,Geography,Product,Date,Amount,Customers,Boxes
,,Husein Augar,UK,Milk Bars,12/1/2021,$189 ,123,8
,,Ches Bonnell,  USA,Fruit & Nut Bars,12/1/2021,"$4,669 ",217,390
,,Barr Faughny,  Canada,70% Dark Bites,12/1/2021,$490 ,188,35
,,Ches Bonnell,   Australia,70% Dark Bites,12/1/2021,"$4,235 ",76,283
,,Jan Morforth,USA,Drinking Coco,12/1/2021,"$4,487 ",161,187
,,Dennison Crosswaite,Canada,Baker's Choco Chips,12/1/2021,"$2,653 ",147,332
,,Wilone O'Kielt, New Zealand,Spicy Special Slims,12/1/2021,"$5,306 ",5,253
,,Marney O'Breen,   USA,50% Dark Bites,12/1/2021,"$6,888 ",112,689
,,Ches Bonnell, New Zealand,Organic Choco Syrup,12/1/2021,$721 ,45,24
,,Dotty Strutley,India,Spicy Special Slims,12/1/2021,"$8,610 ",124,345
,,Brien Boise,USA,Fruit & Nut Bars,12/1/2021,"$11,739 ",22,903
,,Marney O'Breen, India,Orange Choco,13/1/2021,"$4,774 ",206,341
,,Brien Boise,  Canada,50% Dark Bites,13/1/2021,"$6,307 ",123,789
,,Mallorie Waber, Canada,99% Dark & Pure,13/1/2021,"$4,340 ",168,217
,,Andria Kimpton,India,70% Dark Bites,13/1/2021,"$1,078 ",76,77
,,Jan Morforth, UK,Almond Choco,13/1/2021,"$5,418 ",287,247
,,Gunar Cockshoot,USA,Choco Coated Almonds,13/1/2021,"$6,069 ",268,434
,,Kelci Walkden,   USA,Choco Coated Almonds,13/1/2021,"$12,334 ",119,686
,,Ches Bonnell, UK,Drinking Coco,13/1/2021,$728 ,234,32
,,Mallorie Waber, India,Baker's Choco Chips,13/1/2021,"$2,135 ",179,165
,,Kaine Padly,New Zealand,85% Dark Bars,13/1/2021,"$2,121 ",130,89
,,Karlen McCaffrey,   UK,Milk Bars,14/1/2021,"$6,881 ",10,222
,,Roddy Speechley, New Zealand,Drinking Coco,14/1/2021,"$1,239 ",97,50
,,Marney O'Breen, Australia,Mint Chip Choco,14/1/2021,"$3,598 ",365,257
,,Madelene Upcott,Canada,Smooth Sliky Salty,14/1/2021,"$6,580 ",210,347
,,Ches Bonnell,   UK,Spicy Special Slims,14/1/2021,"$1,127 ",97,54
,,Jehu Rudeforth,  India,Peanut Butter Cubes,14/1/2021,"$3,605 ",345,139
,,Andria Kimpton, New Zealand,After Nines,14/1/2021,"$5,096 ",201,196
,,Camilla Castle,USA,99% Dark & Pure,14/1/2021,"$2,135 ",183,98
,,Jan Morforth,USA,Raspberry Choco,14/1/2021,$35 ,142,3
,,Husein Augar, India,70% Dark Bites,14/1/2021,"$13,090 ",17,935
,,Gigi Bohling,   UK,Smooth Sliky Salty,14/1/2021,"$15,785 ",209,1128
,,Oby Sorrel,   Australia,Fruit & Nut Bars,14/1/2021,"$14,574 ",86,810
,,Husein Augar,  New Zealand,Caramel Stuffed Bars,14/1/2021,"$3,556 ",195,143
,,Dennison Crosswaite,  USA,Fruit & Nut Bars,14/1/2021,"$14,532 ",142,969
,,Van Tuxwell,  New Zealand,Caramel Stuffed Bars,14/1/2021,"$4,445 ",340,159
,,Rafaelita Blaksland,  USA,Milk Bars,14/1/2021,"$10,339 ",207,357
,,Gunar Cockshoot, New Zealand,After Nines,14/1/2021,"$1,351 ",282,55
,,Dennison Crosswaite,New Zealand,Baker's Choco Chips,14/1/2021,"$4,011 ",260,335
,,Rafaelita Blaksland,UK,Fruit & Nut Bars,14/1/2021,"$5,306 ",333,483
,,Roddy Speechley,USA,After Nines,14/1/2021,"$18,704 ",78,585
,,Mallorie Waber, Canada,Smooth Sliky Salty,14/1/2021,"$9,310 ",62,582
,,Wilone O'Kielt, New Zealand,Eclairs,14/1/2021,"$1,211 ",37,61
,,Andria Kimpton, Canada,Raspberry Choco,15/1/2021,"$3,094 ",317,148
,,Rafaelita Blaksland,   New Zealand,Raspberry Choco,15/1/2021,"$4,949 ",244,248
,,Curtice Advani,New Zealand,99% Dark & Pure,15/1/2021,$308 ,91,19
,,Husein Augar,India,Caramel Stuffed Bars,15/1/2021,"$7,546 ",49,329
,,Karlen McCaffrey,  USA,85% Dark Bars,15/1/2021,"$6,713 ",422,373
,,Dotty Strutley, New Zealand,Caramel Stuffed Bars,15/1/2021,"$6,895 ",318,300
,,Dennison Crosswaite,   New Zealand,Mint Chip Choco,15/1/2021,"$3,430 ",120,202
,,Mallorie Waber,New Zealand,White Choc,18/1/2021,"$4,165 ",61,348
,,Camilla Castle,   India,Almond Choco,18/1/2021,"$2,380 ",209,159
,,Gunar Cockshoot, UK,White Choc,18/1/2021,"$6,594 ",114,413
,,Wilone O'Kielt,Australia,Raspberry Choco,18/1/2021,"$1,428 ",55,76
,,Beverie Moffet,   Australia,Drinking Coco,18/1/2021,"$2,646 ",150,116
,,Brien Boise,   India,Milk Bars,18/1/2021,$238 ,364,11
,,Roddy Speechley, Australia,Raspberry Choco,18/1/2021,$945 ,298,50
,,Husein Augar, UK,Spicy Special Slims,18/1/2021,"$9,436 ",102,337
,,Rafaelita Blaksland, USA,Spicy Special Slims,18/1/2021,"$4,081 ",116,152
,,Wilone O'Kielt,  USA,99% Dark & Pure,18/1/2021,"$10,556 ",25,587
,,Barr Faughny,   USA,White Choc,18/1/2021,"$2,331 ",38,167
,,Husein Augar,Canada,Organic Choco Syrup,19/1/2021,$896 ,346,32
,,Oby Sorrel,India,Manuka Honey Choco,19/1/2021,"$4,214 ",314,169
,,Oby Sorrel, Canada,Orange Choco,19/1/2021,"$2,121 ",90,177
,,Van Tuxwell, India,85% Dark Bars,19/1/2021,"$1,029 ",386,47
,,Ches Bonnell, India,Mint Chip Choco,19/1/2021,"$15,407 ",103,771
,,Gunar Cockshoot,New Zealand,Caramel Stuffed Bars,19/1/2021,"$10,129 ",134,406
,,Jan Morforth,USA,Smooth Sliky Salty,19/1/2021,"$16,380 ",203,1092
,,Roddy Speechley, India,White Choc,19/1/2021,"$3,899 ",102,279
,,Gigi Bohling, Canada,Spicy Special Slims,19/1/2021,"$12,075 ",264,432
,,Husein Augar,  USA,Manuka Honey Choco,19/1/2021,"$10,696 ",115,428
,,Beverie Moffet,  USA,Almond Choco,19/1/2021,"$4,039 ",436,238
,,Madelene Upcott,  India,Peanut Butter Cubes,19/1/2021,"$5,250 ",410,202
,,Mallorie Waber,  India,99% Dark & Pure,19/1/2021,"$8,113 ",25,508
,,Ches Bonnell,UK,Eclairs,19/1/2021,$161 ,95,10
,,Kaine Padly,   UK,Spicy Special Slims,19/1/2021,"$8,218 ",205,294
,,Curtice Advani, Australia,Baker's Choco Chips,19/1/2021,$742 ,80,53
,,Gunar Cockshoot,   USA,After Nines,19/1/2021,"$3,087 ",193,111
,,Ches Bonnell,   India,Manuka Honey Choco,19/1/2021,"$5,110 ",131,155
,,Wilone O'Kielt,New Zealand,Raspberry Choco,19/1/2021,"$5,873 ",164,267
,,Husein Augar, UK,Mint Chip Choco,19/1/2021,"$4,641 ",301,357
,,Wilone O'Kielt, New Zealand,Peanut Butter Cubes,20/1/2021,"$1,155 ",34,45
,,Brien Boise,   UK,50% Dark Bites,20/1/2021,$784 ,247,49
,,Camilla Castle, New Zealand,Mint Chip Choco,20/1/2021,"$5,369 ",16,384
,,Brien Boise,   Canada,Eclairs,20/1/2021,$343 ,338,18
,,Brien Boise,UK,70% Dark Bites,20/1/2021,"$7,007 ",38,584
,,Kelci Walkden,   India,Baker's Choco Chips,20/1/2021,$126 ,127,13
,,Marney O'Breen,India,99% Dark & Pure,20/1/2021,"$3,073 ",57,134
,,Beverie Moffet,   New Zealand,Choco Coated Almonds,21/1/2021,"$7,805 ",86,488
,,Andria Kimpton, UK,After Nines,21/1/2021,"$3,087 ",14,124
,,Jan Morforth,New Zealand,Choco Coated Almonds,21/1/2021,"$9,030 ",85,452
,,Wilone O'Kielt,USA,Smooth Sliky Salty,21/1/2021,"$7,805 ",6,411
,,Madelene Upcott,  India,After Nines,21/1/2021,"$6,979 ",38,233
,,Beverie Moffet,India,Drinking Coco,21/1/2021,"$11,284 ",39,513
,,Rafaelita Blaksland,  Australia,Milk Bars,21/1/2021,"$2,408 ",106,90
,,Gunar Cockshoot, UK,50% Dark Bites,21/1/2021,"$5,299 ",86,332
,,Brien Boise,  UK,Organic Choco Syrup,21/1/2021,"$6,293 ",158,234
,,Ches Bonnell, Australia,Almond Choco,21/1/2021,$280 ,408,17
,,Gigi Bohling,India,85% Dark Bars,21/1/2021,$644 ,483,30
,,Kaine Padly,   Australia,Choco Coated Almonds,21/1/2021,"$2,191 ",65,110
,,Marney O'Breen,  New Zealand,Choco Coated Almonds,21/1/2021,$427 ,267,26
,,Dotty Strutley, Canada,Smooth Sliky Salty,21/1/2021,"$5,537 ",346,426
,,Madelene Upcott,   Australia,99% Dark & Pure,21/1/2021,$742 ,264,31
,,Van Tuxwell,Canada,85% Dark Bars,21/1/2021,"$4,200 ",457,248
,,Ches Bonnell, UK,Baker's Choco Chips,21/1/2021,"$5,299 ",203,442
,,Ches Bonnell,   USA,Caramel Stuffed Bars,21/1/2021,"$3,829 ",286,160
,,Oby Sorrel,  New Zealand,Manuka Honey Choco,21/1/2021,"$5,747 ",70,192
,,Curtice Advani, New Zealand,85% Dark Bars,21/1/2021,"$2,345 ",199,147
,,Karlen McCaffrey,New Zealand,Orange Choco,22/1/2021,"$4,312 ",181,616
,,Camilla Castle, New Zealand,85% Dark Bars,22/1/2021,"$1,358 ",68,68
,,Barr Faughny,USA,Orange Choco,22/1/2021,"$13,146 ",85,1644
,,Gigi Bohling,  Australia,White Choc,22/1/2021,"$12,047 ",295,927
,,Ches Bonnell,Canada,Smooth Sliky Salty,22/1/2021,"$5,971 ",44,460
,,Marney O'Breen,  New Zealand,50% Dark Bites,22/1/2021,"$3,038 ",280,254
,,Oby Sorrel,  UK,Organic Choco Syrup,22/1/2021,"$8,022 ",167,268
,,Marney O'Breen,  Canada,Baker's Choco Chips,22/1/2021,"$2,226 ",1,248
,,Brien Boise,Canada,Caramel Stuffed Bars,22/1/2021,"$2,366 ",470,79
,,Roddy Speechley,   Australia,50% Dark Bites,22/1/2021,"$8,386 ",194,599
,,Gunar Cockshoot,  Canada,Organic Choco Syrup,22/1/2021,"$13,230 ",261,576
,,Rafaelita Blaksland,  UK,Almond Choco,22/1/2021,"$1,771 ",151,111
,,Jan Morforth, UK,Raspberry Choco,22/1/2021,"$3,416 ",458,228
,,Rafaelita Blaksland, UK,85% Dark Bars,22/1/2021,"$15,197 ",11,634
,,Ches Bonnell,New Zealand,Baker's Choco Chips,22/1/2021,"$5,971 ",59,498
,,Dennison Crosswaite, UK,Orange Choco,22/1/2021,"$13,335 ",227,1667
,,Van Tuxwell,   Canada,Choco Coated Almonds,22/1/2021,"$4,613 ",54,210
,,Karlen McCaffrey,India,Fruit & Nut Bars,22/1/2021,"$10,430 ",110,580
,,Oby Sorrel,USA,Almond Choco,22/1/2021,$168 ,94,10
,,Camilla Castle, UK,99% Dark & Pure,22/1/2021,"$4,606 ",256,192
,,Husein Augar, UK,White Choc,22/1/2021,"$1,491 ",193,136
,,Dennison Crosswaite,India,99% Dark & Pure,25/1/2021,"$12,194 ",302,509
,,Karlen McCaffrey, UK,Raspberry Choco,25/1/2021,"$10,122 ",206,533
,,Andria Kimpton,Australia,99% Dark & Pure,25/1/2021,"$1,841 ",164,88
,,Marney O'Breen,  UK,Orange Choco,25/1/2021,"$6,958 ",337,580
,,Kaine Padly,  India,99% Dark & Pure,25/1/2021,$749 ,323,35
,,Marney O'Breen,UK,Raspberry Choco,25/1/2021,"$3,507 ",48,195
,,Rafaelita Blaksland,New Zealand,Baker's Choco Chips,25/1/2021,"$7,294 ",122,562
,,Brien Boise,   India,Fruit & Nut Bars,25/1/2021,"$5,040 ",219,420
,,Brien Boise, India,Organic Choco Syrup,25/1/2021,"$3,913 ",257,157
,,Andria Kimpton,USA,50% Dark Bites,25/1/2021,"$3,598 ",101,300
,,Beverie Moffet,  USA,Spicy Special Slims,25/1/2021,"$8,911 ",302,319
,,Ches Bonnell,   New Zealand,Peanut Butter Cubes,25/1/2021,$42 ,35,2
,,Jan Morforth,   India,Choco Coated Almonds,25/1/2021,"$2,282 ",222,109
,,Van Tuxwell,   Canada,99% Dark & Pure,25/1/2021,"$12,964 ",242,541
,,Andria Kimpton,Canada,Smooth Sliky Salty,25/1/2021,"$5,775 ",219,361
,,Marney O'Breen,New Zealand,Spicy Special Slims,25/1/2021,"$10,787 ",100,400
,,Oby Sorrel, Australia,Choco Coated Almonds,25/1/2021,"$6,342 ",115,374
,,Dotty Strutley,India,Peanut Butter Cubes,25/1/2021,"$11,564 ",46,463
,,Gunar Cockshoot, USA,Raspberry Choco,25/1/2021,"$2,793 ",37,156
,,Madelene Upcott,   Canada,70% Dark Bites,25/1/2021,"$1,603 ",81,134
,,Curtice Advani,   Australia,Almond Choco,25/1/2021,"$3,052 ",357,180
,,Karlen McCaffrey,   Canada,Choco Coated Almonds,25/1/2021,"$1,659 ",82,83
,,Barr Faughny, New Zealand,Mint Chip Choco,25/1/2021,"$3,143 ",82,210
,,Dennison Crosswaite,   USA,Choco Coated Almonds,25/1/2021,"$12,782 ",212,609
,,Mallorie Waber,  New Zealand,70% Dark Bites,25/1/2021,$343 ,313,32
,,Brien Boise, New Zealand,White Choc,25/1/2021,"$1,785 ",216,138
,,Brien Boise,   Canada,Orange Choco,25/1/2021,"$4,914 ",46,615
,,Madelene Upcott,   UK,White Choc,26/1/2021,"$1,869 ",242,208
,,Wilone O'Kielt,   India,Spicy Special Slims,26/1/2021,"$8,512 ",173,387
,,Van Tuxwell,UK,Orange Choco,26/1/2021,"$9,296 ",1,716
,,Oby Sorrel,Australia,Drinking Coco,26/1/2021,"$6,034 ",229,263
,,Jehu Rudeforth, India,After Nines,26/1/2021,"$9,471 ",166,365
,,Kelci Walkden,   India,Peanut Butter Cubes,26/1/2021,"$3,815 ",146,166
,,Barr Faughny, New Zealand,Eclairs,26/1/2021,"$9,485 ",140,527
,,Marney O'Breen,USA,Organic Choco Syrup,26/1/2021,"$3,549 ",78,132
,,Wilone O'Kielt,  UK,Orange Choco,26/1/2021,"$1,512 ",61,117
,,Jan Morforth,Canada,Organic Choco Syrup,26/1/2021,"$2,296 ",113,96
,,Husein Augar, India,Milk Bars,27/1/2021,"$17,402 ",43,697
,,Kelci Walkden, UK,Fruit & Nut Bars,27/1/2021,"$11,816 ",160,844
,,Rafaelita Blaksland,  New Zealand,Organic Choco Syrup,27/1/2021,"$10,612 ",232,425
,,Barr Faughny, USA,Milk Bars,27/1/2021,"$5,558 ",263,192
,,Mallorie Waber, UK,Raspberry Choco,27/1/2021,"$14,056 ",148,781
,,Andria Kimpton, USA,Organic Choco Syrup,27/1/2021,"$5,131 ",171,166
,,Marney O'Breen,  USA,99% Dark & Pure,27/1/2021,"$1,477 ",352,87
,,Curtice Advani, Australia,Raspberry Choco,27/1/2021,"$7,686 ",72,549
,,Van Tuxwell,  UK,85% Dark Bars,27/1/2021,"$8,722 ",35,460
,,Ches Bonnell,UK,Organic Choco Syrup,27/1/2021,"$6,370 ",35,206
,,Gunar Cockshoot,   UK,85% Dark Bars,27/1/2021,"$4,074 ",208,240
,,Roddy Speechley, New Zealand,After Nines,27/1/2021,"$1,309 ",97,51
,,Kaine Padly,Australia,Smooth Sliky Salty,27/1/2021,"$4,991 ",137,357
,,Wilone O'Kielt, Canada,Peanut Butter Cubes,27/1/2021,"$6,965 ",91,367
,,Kelci Walkden, Australia,Manuka Honey Choco,27/1/2021,"$10,199 ",497,408
,,Karlen McCaffrey,  New Zealand,Choco Coated Almonds,27/1/2021,"$7,392 ",9,390
,,Barr Faughny,   New Zealand,Fruit & Nut Bars,27/1/2021,"$5,880 ",71,392
,,Wilone O'Kielt,  USA,After Nines,27/1/2021,"$5,950 ",25,238
,,Dotty Strutley,   USA,Organic Choco Syrup,27/1/2021,"$10,395 ",57,336
,,Jehu Rudeforth,  India,Drinking Coco,27/1/2021,"$6,174 ",33,247
,,Wilone O'Kielt,   New Zealand,70% Dark Bites,27/1/2021,"$15,239 ",170,1524
,,Mallorie Waber,Canada,Orange Choco,27/1/2021,"$2,219 ",145,247
,,Rafaelita Blaksland,New Zealand,70% Dark Bites,27/1/2021,"$3,150 ",70,243
,,Rafaelita Blaksland,  UK,Baker's Choco Chips,27/1/2021,"$2,968 ",216,212
,,Dennison Crosswaite, Canada,Mint Chip Choco,27/1/2021,"$3,241 ",199,163
,,Kelci Walkden,   Canada,Drinking Coco,27/1/2021,"$3,605 ",120,151
,,Oby Sorrel,   Canada,99% Dark & Pure,28/1/2021,"$3,640 ",169,174
,,Husein Augar,  Canada,99% Dark & Pure,28/1/2021,"$1,309 ",294,77
,,Jan Morforth, India,Eclairs,28/1/2021,"$10,346 ",131,739
,,Kelci Walkden, Canada,Raspberry Choco,28/1/2021,"$1,071 ",359,54
,,Husein Augar,UK,70% Dark Bites,28/1/2021,"$6,328 ",119,791
,,Kaine Padly,   Canada,After Nines,28/1/2021,"$1,820 ",143,68
,,Andria Kimpton, India,Choco Coated Almonds,28/1/2021,"$3,437 ",179,157
,,Rafaelita Blaksland,   UK,White Choc,28/1/2021,"$4,550 ",214,455
,,Barr Faughny,  Canada,Drinking Coco,28/1/2021,"$2,968 ",259,110
,,Dotty Strutley,   USA,Eclairs,28/1/2021,"$12,565 ",4,898
,,Rafaelita Blaksland,  Canada,Milk Bars,28/1/2021,"$8,246 ",294,318
,,Andria Kimpton,   India,Mint Chip Choco,28/1/2021,"$1,190 ",137,70
,,Roddy Speechley,  New Zealand,Eclairs,28/1/2021,"$3,283 ",146,183
,,Ches Bonnell,   Australia,Manuka Honey Choco,28/1/2021,"$3,087 ",300,115
,,Oby Sorrel,  India,Choco Coated Almonds,28/1/2021,"$6,531 ",244,297
,,Marney O'Breen, USA,White Choc,28/1/2021,"$4,228 ",55,249
,,Roddy Speechley,  USA,Caramel Stuffed Bars,28/1/2021,"$10,094 ",118,389
,,Mallorie Waber,   New Zealand,Milk Bars,28/1/2021,$182 ,46,6
,,Jehu Rudeforth, New Zealand,White Choc,28/1/2021,$616 ,151,37
,,Roddy Speechley, USA,Smooth Sliky Salty,29/1/2021,"$12,131 ",121,809
,,Kaine Padly,USA,Drinking Coco,29/1/2021,"$2,394 ",323,93
,,Karlen McCaffrey,   India,White Choc,29/1/2021,"$14,287 ",89,841
,,Husein Augar,New Zealand,Almond Choco,29/1/2021,"$10,941 ",185,730
,,Roddy Speechley,UK,Drinking Coco,29/1/2021,"$7,777 ",345,260
,,Curtice Advani, Canada,Orange Choco,29/1/2021,"$9,436 ",7,858
,,Kaine Padly,   Canada,Fruit & Nut Bars,29/1/2021,"$1,267 ",104,116
,,Kaine Padly, USA,After Nines,29/1/2021,"$8,806 ",32,327
,,Curtice Advani, UK,Choco Coated Almonds,29/1/2021,"$3,640 ",403,243
,,Kaine Padly,UK,Caramel Stuffed Bars,29/1/2021,"$4,900 ",239,182
,,Madelene Upcott,Australia,White Choc,29/1/2021,"$5,558 ",219,348
,,Camilla Castle,New Zealand,Almond Choco,29/1/2021,"$9,142 ",1,436
,,Dennison Crosswaite,UK,Mint Chip Choco,29/1/2021,"$3,514 ",143,235
,,Beverie Moffet, Canada,50% Dark Bites,29/1/2021,$140 ,91,10
,,Kelci Walkden, UK,Spicy Special Slims,1/2/2021,"$11,844 ",211,439
,,Gunar Cockshoot, New Zealand,Milk Bars,1/2/2021,"$6,517 ",54,233
,,Kaine Padly,  India,Milk Bars,1/2/2021,"$8,715 ",24,282
,,Gigi Bohling,   India,Organic Choco Syrup,1/2/2021,"$4,851 ",455,180
,,Barr Faughny, USA,Organic Choco Syrup,1/2/2021,"$10,983 ",185,379
,,Mallorie Waber,Australia,Baker's Choco Chips,1/2/2021,"$3,290 ",75,329
,,Husein Augar,  Australia,Organic Choco Syrup,1/2/2021,"$6,545 ",86,212
,,Gunar Cockshoot,   Canada,70% Dark Bites,1/2/2021,$441 ,7,45
,,Dotty Strutley,India,Choco Coated Almonds,1/2/2021,"$9,849 ",75,580
,,Andria Kimpton,New Zealand,White Choc,1/2/2021,"$3,073 ",9,308
,,Rafaelita Blaksland,USA,Organic Choco Syrup,1/2/2021,"$4,452 ",75,149
,,Karlen McCaffrey,Canada,85% Dark Bars,1/2/2021,"$10,220 ",105,538
,,Andria Kimpton,UK,70% Dark Bites,1/2/2021,"$3,150 ",11,210
,,Kaine Padly, USA,Smooth Sliky Salty,1/2/2021,"$6,083 ",43,381
,,Ches Bonnell,UK,Fruit & Nut Bars,1/2/2021,"$14,063 ",140,1407
,,Kaine Padly,  UK,70% Dark Bites,1/2/2021,"$4,578 ",256,306
,,Beverie Moffet,   India,White Choc,1/2/2021,"$6,454 ",21,461
,,Kelci Walkden,  USA,Manuka Honey Choco,2/2/2021,"$6,650 ",166,256
,,Barr Faughny, India,Peanut Butter Cubes,2/2/2021,"$2,436 ",203,94
